symbol;name;start;end;period;id
ATRC;AtriCure Inc. (ATRC) Prices and Trading Volume;2005-08-05;2018-03-27;daily;10991882
ATRI;Atrion Corp. (ATRI) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10991914
ATRO;Astronics Corp. (ATRO) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10990948
ATRS;Antares Pharma Inc. (ATRS) Prices and Trading Volume;1996-10-03;2018-03-27;daily;10986955
ATSG;Air Transport Services Group Inc (ATSG) Prices and Trading Volume;2003-07-23;2018-03-27;daily;10978724
ATU;Actuant Corp. Cl A (ATU) Prices and Trading Volume;2000-07-24;2018-03-27;daily;10974972
ATVI;Activision Blizzard Inc. (ATVI) Prices and Trading Volume;1993-10-25;2018-03-27;daily;10974937
ATW;Atwood Oceanics Inc. (ATW) Prices and Trading Volume;1984-09-07;2017-10-05;daily;10992033
AUXL;Auxilium Pharmaceuticals Inc (AUXL) Prices and Trading Volume;2004-07-26;2015-01-29;daily;10992841
AVA;Avista Corp. (AVA) Prices and Trading Volume;1987-11-16;2018-03-27;daily;10993496
AVAV;AeroVironment Inc. (AVAV) Prices and Trading Volume;2007-01-23;2018-03-27;daily;10977424
AVB;Avalonbay Communities Inc. (AVB) Prices and Trading Volume;1994-03-11;2018-03-27;daily;9775559
AVD;American Vanguard (AVD) Prices and Trading Volume;1988-06-22;2018-03-27;daily;10984760
AVEO;AVEO Pharmaceuticals Inc. (AVEO) Prices and Trading Volume;2010-03-12;2018-03-27;daily;10993264
AVG;AVG Technologies (AVG) Prices and Trading Volume;2012-02-02;2016-11-07;daily;10993297
AVGO;Avago Technologies Ltd (AVGO) Prices and Trading Volume;2009-08-06;2018-03-27;daily;10992895
AVHI;A V Homes Inc. (AVHI) Prices and Trading Volume;2003-05-23;2018-03-27;daily;10992868
AVID;Avid Technology Inc. (AVID) Prices and Trading Volume;2014-12-08;2018-03-27;daily;10993350
AVIV;Aviv REIT (AVIV) Prices and Trading Volume;2013-03-21;2015-04-01;daily;11251339
AVNR;Avanir Pharmaceuticals Inc (AVNR) Prices and Trading Volume;1990-05-08;2015-01-12;daily;10993088
AVNW;Aviat Networks Inc. (AVNW) Prices and Trading Volume;1991-02-07;2018-03-27;daily;10993311
AVP;Avon Products, Inc. (AVP) Prices and Trading Volume;1972-06-01;2018-03-07;daily;9775560
